col_name,col_value
LASTDAYOFWEEK,1
TRY_TO_DOUBLE,1
LISTAGG,1
CURRENT_AVAILABLE_ROLES,1
CURRENT_DATABASE,1
HLL_EXPORT,1
IS_OBJECT,1
TRUNCATE,1
TRY_TO_DATE,1
DECODE,1
INITCAP,1
AND,1
STORED_PROCEDURE_CHILD_JOB,0
ST_XMAX_INTERNAL,1
SLICETIMESTAMPTOHOUR,1
UNDERLYING_TO_UDT,1
LAST_DAY,1
DECOMPRESS_STRING,1
TO_NUMBER,1
IN_TASK,TRUE
REGEXP_INSTR,1
TYPEOF,1
IS_INTEGER,1
LIMIT_LEFT_OUTER_JOIN_PUSHDOWN,0
<,1
>,1
AS_TIMESTAMP_TZ,1
NARY_UNION_ALL,0
REGEXP_REPLACE,1
SUBSTRING,1
SYSTEM$PIPE_STATUS,1
LOWER,1
IS_BOOLEAN,1
TO_ARRAY,1
CURRENT_ROLE,1
BCAST_FAST_HT_MERGE,0
STRIP_NULL_VALUE,1
TRUNCDATETOWeek,1
IS_CACHE_HIT,TRUE
TRUNCTIMESTAMPTOSECOND,1
IS_DATE_VALUE,1
USAGE_TRACKING_REWRITERULES,TRUE
GET_PARAMETER_SETTING,1
ABS,1
ENCRYPT_RAW,1
SYSTEM$NULL_TO_TIMESTAMP_TZ,1
SYSTEM$GET_NDV_ML_FEATURES,1
SYSTEM$PROCESS_RANK,1
BITXOR_AGG,1
ARRAY_TO_STRING,1
NOT,1
DATE_ADDMONTHSEOMTOTIMESTAMP,1
IN,1
DUR_XP_EXECUTING,FALSE
TO_JSON,1
TO_BOOLEAN,1
SYSTEM$NULL_TO_ARRAY,1
SAMPLE_CLAUSE,0
RECURSIVE_WITH,1
!=,1
UNARY PLUS,1
DATE_DIFFDATEINHOURS,1
DATE_ADDHOURSTOTIMESTAMP,1
COUNT(*),1
STATEMENT_TYPE_ID,14596
TIMESTAMP_NTZ_FROM_DATE_TIME,1
EDITDISTANCE,1
STATEMENT_TYPE_ID,24849
UPPER,1
BITOR_AGG,1
SYSTEM$GET_QUERY_WORKER_DETAIL,1
OR,1
DENSE_RANK,1
TRY_TO_TEXT,1
ST_XMIN_INTERNAL,1
COL_ORDER_KEY,FALSE
USAGE_TRACKING_IOEVENTS,TRUE
SPLIT_PART,1
ARRAY_CONSTRUCT_COMPACT,1
WAREHOUSE_SIZE,128
/,1
BOOLEAN_TO_NUMBER,1
STATEMENT_TYPE_ID,14595
LAST_QUERY_ID,1
MD5_HEX,1
MONTHNAME,1
CONCAT,1
TIME_SLICE,1
DATE_ADDSECONDSTOTIMESTAMP,1
STARTSWITH,1
UNICODE,1
AS_CHAR,1
SHA1,1
OBJECTAGG,1
SECOND,1
CUME_DIST,1
TRY_TO_DECIMAL,1
CHECK_XML,1
TO_NUMERIC,1
APPLICABLE_ROLES,1
LOCALTIMESTAMP,1
REGR_SYY,1
ARRAY_INSERT,1
OCTET_LENGTH,1
CURRENT_WAREHOUSE,1
TRY_TO_TIMESTAMP_TZ,1
PREVIOUS_DAY,1
OBJECT_DELETE,1
POSITION,1
MODE,1
FIRST_VALUE,1
SET_COMBINE,1
DATEFROMPARTS,1
TIMESTAMPFROMPARTS,1
